,feature,support,ranking
0,0,False,285
1,1,False,282
2,2,False,281
3,3,False,280
4,4,False,279
5,5,False,278
6,6,False,277
7,7,False,276
8,8,False,275
9,9,False,274
10,10,False,259
11,11,False,258
12,12,False,257
13,13,False,246
14,14,False,207
15,15,False,206
16,16,False,204
17,17,False,134
18,18,False,133
19,19,False,132
20,20,False,130
21,21,False,129
22,22,False,128
23,23,False,122
24,24,False,121
25,25,False,120
26,26,False,119
27,27,False,118
28,28,False,112
29,29,False,111
30,30,False,110
31,31,False,109
32,32,False,101
33,33,False,100
34,34,False,99
35,35,False,98
36,36,False,97
37,37,False,96
38,38,False,95
39,39,False,94
40,40,False,93
41,41,False,92
42,42,False,91
43,43,False,90
44,44,False,89
45,45,False,88
46,46,False,87
47,47,False,86
48,48,False,84
49,49,False,83
50,50,False,82
51,51,False,81
52,52,False,80
53,53,False,79
54,54,False,78
55,55,False,77
56,56,False,76
57,57,False,75
58,58,False,74
59,59,False,73
60,60,True,1
61,61,True,1
62,62,True,1
63,63,True,1
64,64,True,1
65,65,True,1
66,66,True,1
67,67,True,1
68,68,True,1
69,69,True,1
70,70,True,1
71,71,True,1
72,72,True,1
73,73,True,1
74,74,True,1
75,75,True,1
76,76,True,1
77,77,True,1
78,78,True,1
79,79,True,1
80,80,True,1
81,81,True,1
82,82,True,1
83,83,True,1
84,84,True,1
85,85,True,1
86,86,True,1
87,87,True,1
88,88,True,1
89,89,True,1
90,90,True,1
91,91,True,1
92,92,True,1
93,93,True,1
94,94,True,1
95,95,True,1
96,96,True,1
97,97,True,1
98,98,True,1
99,99,True,1
100,100,True,1
101,101,True,1
102,102,True,1
103,103,True,1
104,104,True,1
105,105,True,1
106,106,True,1
107,107,True,1
108,108,True,1
109,109,True,1
110,110,True,1
111,111,True,1
112,112,True,1
113,113,True,1
114,114,True,1
115,115,True,1
116,116,True,1
117,117,True,1
118,118,True,1
119,119,True,1
120,120,True,1
121,121,True,1
122,122,True,1
123,123,True,1
124,124,True,1
125,125,True,1
126,126,True,1
127,127,True,1
128,128,True,1
129,129,True,1
130,130,True,1
131,131,True,1
132,132,True,1
133,133,True,1
134,134,True,1
135,135,True,1
